114787,1,0
114785,0,0
117078,0.5,0
117079,0,0
114781,0,0
114780,0,0
117074,1,1.0
117077,0,0.5
117070,0,0
114789,0,0
118631,2.5,1
118630,0,0
118636,1.5,1
118635,0,0
116191,1,0
117677,0.5,0
114073,0,0
117675,0,0
117672,0,0
111532,1,0
117670,0.5,0
111530,0,0
115811,0,0
115813,0,0
115814,0.5,2
115819,1,0
114013,0,0
112231,0,0.5
113785,0,0
116197,0,0.5
112469,0,0
116412,1.5,0
116417,0,0
116416,0,0
116419,0,0
114673,1,0
114672,0,1
119463,0.5,1.0
117419,0.5,0
114677,0,1
117072,1.5,1
114675,1.0,0.5
119466,0,0.5
119469,0,0
117221,1,0
114679,0,0
117411,2.5,0.5
117417,1.5,0
117415,1,0
114477,0,0.5
118588,1,0
114471,1.5,0
113014,0,0
114473,4,0
118128,0,0.5
117782,0,0
118125,1,0.5
117781,0,0
114478,1,0
117785,0,1.5
112462,0,0.5
118311,0.5,0
117897,1,0
117895,1,0
118312,1.5,0.5
117891,0,0
111437,1.5,0
118315,0.5,1
117254,0,0
117527,1,0
117256,0,0
116309,0,0
116308,0,0
117252,0.5,0
117521,1.5,0
116304,0,1
116307,0.5,1
118029,0,1
116301,0.5,3.5
111535,2,1
117529,0,0
117096,0.5,0
119519,1,0
115449,0.5,0
117091,1.0,0
119516,0,0
114074,0,0
116781,0,1
116780,0,0
116783,1,1.5
116784,0,0.5
116786,0.5,0
116788,1,0
114076,2.0,5.0
113578,1,0
113574,0.5,0
113576,0,0
113571,0,0.5
113570,0,0
113573,0.5,0
111167,1,0
113170,0,1.5
113172,1,0
117324,1.0,0
113177,1,1
116231,0.5,1.0
117329,0,0
118334,0,0.5
118332,0,2
118330,0,0.5
116236,0,0
115951,0,0
113310,0,1
113312,0,1.0
113315,0,0.5
112312,0,1.5
112310,0,0
116126,1,0
112317,1,0
112314,0,2
112315,0,2
112319,0.5,1.0
118939,0,0.5
113233,0,0
118931,0,1.5
113771,1,1.5
118934,1,0
113776,1,0
118936,0,0
113774,1,0
113953,0.5,0
113950,0,1.5
113957,1,0
113955,0.5,0
112132,0,0
113959,0,0
112423,0,0
112136,1.5,0
113408,0,0
112426,0,0
112135,0.5,0
112959,1,0
113796,0,2.0
113234,0,0
113793,1,0
113792,1,0
112950,0,1.0
112952,0,0
113799,2,0
112955,1.5,0
112957,0.5,0.5
118805,1.5,0
118807,1,1
118801,0,0
112228,0,0
112554,1.0,0
112227,0,0
112556,0,3
112225,2,0.5
112222,1,0.5
119266,1,0
119265,0,1.5
119264,0.5,1
112042,0,0.5
115028,1,0
116829,1.0,1
115797,1,0
115796,0.5,0
115795,0,0
115026,1,0
115793,2,1
115023,0,0
119268,1,0
111279,1,1
117550,1,0
115332,1.0,2.5
115337,0,0
111227,0,0.5
113381,0.5,0
114318,1,0
119194,1,0.5
119196,1,0.5
